ID;nome;pontos;vitorias;empates;derrotas;partidas;posicao;golsPro;golsContra;saldo;cartoesA;cartoesV
2;Atletico de Madrid;86;26;8;4;38;1;67;25;42;65;6
15;Real Madrid;84;25;9;4;38;2;67;28;39;57;4
3;Barcelona;79;24;7;7;38;3;85;38;47;65;4
17;Sevilla;77;24;5;9;38;4;53;33;20;72;4
16;Real Sociedad;62;17;11;10;38;5;59;38;21;81;2
4;Betis;61;17;10;11;38;6;50;50;0;81;8
19;Villarreal;58;15;13;10;38;7;60;44;16;64;10
6;Celta de Vigo;53;14;11;13;38;8;55;57;-2;99;10
10;Granada;46;13;7;18;38;9;47;65;-18;94;12
1;Athletic Bilbao;46;11;13;14;38;10;46;42;4;79;4
13;Osasuna;44;11;11;16;38;11;37;48;-11;71;10
5;Cadiz;44;11;11;16;38;12;36;58;-22;75;6
18;Valencia;43;10;13;15;38;13;50;53;-3;75;10
11;Levante;41;9;14;15;38;14;46;57;-11;69;2
9;Getafe;38;9;11;18;38;15;28;43;-15;116;14
0;Alaves;38;9;11;18;38;16;36;57;-21;81;16
7;Elche;36;8;12;18;38;17;34;55;-21;93;6
8;Espanyol;34;7;13;18;38;18;34;53;-19;66;4
12;Mallorca;31;5;16;17;38;19;34;57;-23;64;6
14;Rayo Vallecano;30;6;12;20;38;20;29;52;-23;82;7
